source_key,citation,year,setting,body,epoch,value_as_published,units_as_published,tmol_per_yr_lo,tmol_per_yr_hi,kind,estimate_group,attribution,source_locator,note
brovarone_2017,Brovarone et al. 2017,2017,multiple,earth,modern,,,,,not_extracted,,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",several site-specific estimates (subduction fluids/ forearc mantle wedge/ sub-seafloor); no single global value in SI narrative
fiebig_2007_present,Fiebig et al. 2007,2007,subduction,earth,modern,6 x 10^-3,Tmol/year,0.006,0.006,realized_observational,subduction_global,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",subduction-related hydrothermal sites in the Mediterranean
fiebig_2007_archean,Fiebig et al. 2007,2007,subduction,earth,archean,2.5-5,Tmol/year,2.5,5.0,maximal_bound,,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",uppermost Archean estimate; NOT a modern realized flux
fiebig_2009,Fiebig et al. 2009,2009,continental_hydrothermal,earth,modern,0.31,Tmol/year,0.31,0.31,realized_observational,continental_global,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",abiogenic CH4 from continental hydrothermal emissions
portella_2019,Portella et al. 2019,2019,ophiolite,earth,modern,2 x 10^-3,Tmol/year,0.002,0.002,inventory_derived,,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",0.31 ug CH4/g_rock in chromitites x Earth melt production rate 3.2e9 g/s
klein_2019,Klein et al. 2019,2019,oceanic_crust,earth,modern,1.5 x 10^-6,Tmol/year,1.5e-06,1.5e-06,inventory_derived,,original,"Thompson+2022 SI ""Observational and Theoretical Studies""",~300 Tmol CH4 inventory in lower oceanic crust divided by ~200 Myr crustal lifetime
jones_2010,Jones et al. 2010,2010,experiment,earth,modern,1 x 10^-5 to 0.05,umol/kg/hr,,,not_extrapolatable,,original,"Thompson+2022 SI ""Experiments""",extrapolation exceeds Earth's iron supply; background CH4 not quantified (McCollom 2013)
mccollom_2013,McCollom 2013,2013,experiment,earth,modern,0.05,umol/kg/hr,,,not_extrapolatable,,original,"Thompson+2022 SI ""Experiments""",scaling to 6e21 kg oceanic crust exceeds Earth's iron supply and requires unrealistic whole-crust high temperature
oze_2012,Oze et al. 2012,2012,experiment,earth,modern,~0.09 to 0.15,umol/kg/hr,,,not_extrapolatable,,original,"Thompson+2022 SI ""Experiments""",extrapolation exceeds Earth's iron supply; background CH4 not quantified
neubeck_2011,Neubeck et al. 2011,2011,experiment,earth,modern,2.7 x 10^-11 to 7.3 x 10^-11,mol/m^2/s,,,not_extrapolatable,,original,"Thompson+2022 SI ""Experiments""",background CH4 not quantified (McCollom 2013)
mccollom_2016,McCollom 2016,2016,experiment,earth,modern,16-50,umol/kg_olivine,,,not_extrapolatable,,original,"Thompson+2022 SI ""Experiments""",isotopic labelling showed most experimental CH4 derived from background sources rather than DIC reduction
kt2018b_threshold,"Krissansen-Totton, Olson & Catling 2018",2018,global_serpentinization,earth,modern,10,Tmol/year,10.0,10.0,maximal_bound,,original,Wogan+2026 Sec 2.5 Eq 1,99.7th percentile of the KT2018b maximum-flux distribution; adopted as a single threshold (3.7e10 molec/cm2/s) by Wogan+2026
